"GEOID","year","rate"
"48","2009","8.91626984126984"
"48","2010","8.935714285714292"
"48","2011","8.363492063492062"
"48","2012","7.260714285714284"
"48","2013","7.01388888888889"
"48","2014","5.759920634920635"
"48","2015","5.307142857142861"
"49","2008","4.56896551724138"
"49","2009","7.651724137931036"
"49","2010","8.324137931034484"
"49","2011","7.744827586206897"
"49","2012","6.727586206896553"
"49","2013","6.355172413793104"
"49","2014","5.1"
"49","2015","4.979310344827585"
"50","2008","4.864285714285714"
"50","2009","8.00714285714286"
"50","2010","8.7"
"50","2011","8.228571428571428"
"50","2012","7.007142857142856"
"50","2013","6.507142857142858"
"50","2014","5.242857142857143"
"50","2015","5.085714285714285"
"51","2008","4.511811023622048"
"51","2009","7.61732283464567"
"51","2010","8.193700787401571"
"51","2011","7.488188976377953"
"51","2012","6.548818897637794"
"51","2013","6.091338582677164"
"51","2014","5.24251968503937"
"51","2015","4.955905511811021"
"53","2008","4.671794871794871"
"53","2009","7.769230769230769"
"53","2010","8.153846153846153"
"53","2011","7.464102564102564"
"53","2012","6.792307692307692"
"53","2013","6.356410256410255"
"53","2014","5.743589743589742"
"53","2015","4.8769230769230765"
"54","2008","5.1056603773584905"
"54","2009","8.486792452830189"
"54","2010","8.854716981132079"
"54","2011","8.124528301886789"
"54","2012","7.4754716981132106"
"54","2013","7.037735849056604"
"54","2014","6.354716981132077"
"54","2015","5.424528301886794"
"72","2008","9.453947368421058"
"72","2009","13.460526315789476"
"72","2010","14.35592105263158"
"72","2011","13.663157894736841"
"72","2012","12.513815789473684"
"72","2013","12.557236842105265"
"72","2014","11.573026315789482"
"72","2015","9.846052631578951"
"55","2008","5.831884057971013"
"55","2009","9.420289855072465"
"55","2010","10.355072463768115"
"55","2011","9.784057971014494"
"55","2012","9.142028985507244"
"55","2013","8.405797101449279"
"55","2014","7.575362318840579"
"55","2015","7.360869565217394"
"56","2008","4.115217391304348"
"56","2009","7.591304347826087"
"56","2010","7.882608695652174"
"56","2011","7.269565217391307"
"56","2012","6.697826086956521"
"56","2013","5.9869565217391285"
"56","2014","5.619565217391304"
"56","2015","5.678260869565216"
