"year","GEOID","rate"
"2009","01091","14.2"
"2010","01091","13.7"
"2011","01091","12.6"
"2012","01091","10.2"
"2013","01091","8.9"
"2014","01091","8"
"2015","01091","7.7"
"2008","01093","8"
"2009","01093","16.6"
"2010","01093","13.6"
"2011","01093","11.2"
"2012","01093","8.9"
"2013","01093","7.9"
"2014","01093","7.9"
"2015","01093","7"
"2008","01095","4.7"
"2009","01095","10.2"
"2010","01095","9.6"
"2011","01095","9.4"
"2012","01095","7.8"
"2013","01095","6.8"
"2014","01095","6.7"
"2015","01095","5.8"
"2008","01097","5.7"
"2009","01097","11.3"
"2010","01097","11.3"
"2011","01097","10.8"
"2012","01097","9.2"
"2013","01097","8.5"
"2014","01097","7.8"
"2015","01097","7"
"2008","01099","10.2"
"2009","01099","19.5"
"2010","01099","18.1"
"2011","01099","15.7"
"2012","01099","12.6"
"2013","01099","11.9"
"2014","01099","11.1"
"2015","01099","10.1"
"2008","01101","5.9"
"2009","01101","10.5"
"2010","01101","10"
"2011","01101","9.7"
"2012","01101","8.1"
"2013","01101","7.3"
"2014","01101","6.9"
"2015","01101","6.2"
"2008","01103","5.2"
"2009","01103","10.8"
"2010","01103","10.8"
"2011","01103","9.4"
"2012","01103","7.8"
"2013","01103","6.9"
"2014","01103","6.6"
"2015","01103","5.8"
"2008","01105","11.3"
"2009","01105","19.9"
"2010","01105","16.8"
"2011","01105","16.5"
"2012","01105","13.4"
"2013","01105","13.6"
"2014","01105","12.2"
"2015","01105","10"
"2008","01107","7.1"
"2009","01107","13.7"
"2010","01107","13.1"
"2011","01107","12"
"2012","01107","10.2"
"2013","01107","9.4"
"2014","01107","8.2"
"2015","01107","6.8"
"2008","01109","4.9"
"2009","01109","9.5"
"2010","01109","9.4"
"2011","01109","8.9"
"2012","01109","8"
"2013","01109","7.6"
"2014","01109","7.4"
"2015","01109","6.7"
"2008","01111","7.3"
"2009","01111","14.9"
"2010","01111","13.4"
"2011","01111","11.4"
"2012","01111","9.2"
"2013","01111","7.8"
"2014","01111","6.7"
"2015","01111","5.9"
"2008","01113","8"
"2009","01113","12.3"
"2010","01113","10.9"
"2011","01113","10.3"
"2012","01113","8.8"
"2013","01113","7.3"
"2014","01113","6.6"
"2015","01113","6"
"2008","01115","5"
"2009","01115","10.9"
"2010","01115","10.1"
"2011","01115","8.8"
"2012","01115","6.9"
"2013","01115","6.1"
"2014","01115","5.8"
"2015","01115","5.2"
"2008","01117","3.7"
"2009","01117","7.8"
"2010","01117","7.1"
"2011","01117","6.2"
"2012","01117","5"
"2013","01117","4.6"
"2014","01117","4.5"
"2015","01117","4.2"
"2008","01119","8.7"
"2009","01119","14.9"
"2010","01119","13.3"
"2011","01119","13.1"
"2012","01119","10.5"
"2013","01119","9.1"
"2014","01119","8.5"
"2015","01119","8"
"2008","01121","7.2"
"2009","01121","14.4"
"2010","01121","13.5"
"2011","01121","11.6"
"2012","01121","9.4"
"2013","01121","8.6"
"2014","01121","7.8"
"2015","01121","6.6"
"2008","01123","7.2"
"2009","01123","13.6"
"2010","01123","13.1"
"2011","01123","11.4"
"2012","01123","8.6"
"2013","01123","8.1"
"2014","01123","7.5"
"2015","01123","6.1"
"2008","01125","4.7"
"2009","01125","10.2"
"2010","01125","9.2"
"2011","01125","8.3"
"2012","01125","7"
"2013","01125","6.4"
"2014","01125","5.9"
"2015","01125","5.5"
"2008","01127","5.7"
"2009","01127","11.6"
"2010","01127","12.7"
"2011","01127","11.3"
"2012","01127","9.2"
"2013","01127","8.4"
"2014","01127","7.9"
"2015","01127","7.2"
"2008","01129","8.4"
"2009","01129","15.1"
"2010","01129","14.2"
"2011","01129","14.6"
"2012","01129","11.9"
"2013","01129","10.9"
"2014","01129","9.6"
"2015","01129","8.9"
"2008","01131","14"
"2009","01131","26"
"2010","01131","26.3"
"2011","01131","23.2"
"2012","01131","20"
"2013","01131","19.3"
"2014","01131","17"
"2015","01131","14.7"
"2008","01133","8.7"
"2009","01133","17.7"
"2010","01133","16"
"2011","01133","13.5"
"2012","01133","10"
"2013","01133","9.4"
"2014","01133","8.6"
"2015","01133","7.6"
"2008","02013","8.7"
"2009","02013","9.9"
"2010","02013","5.6"
"2011","02013","6.2"
"2012","02013","6.8"
"2013","02013","6"
"2014","02013","4.5"
"2015","02013","3.2"
"2008","02016","5.8"
"2009","02016","7"
"2010","02016","5.1"
"2011","02016","5.8"
"2012","02016","6.9"
"2013","02016","6.9"
"2014","02016","4.8"
"2015","02016","3.8"
"2008","02020","5.4"
"2009","02020","6.5"
"2010","02020","6.6"
"2011","02020","6"
"2012","02020","5.4"
"2013","02020","5.2"
"2014","02020","5.2"
"2015","02020","5"
"2008","02050","13.9"
"2009","02050","14.1"
"2010","02050","14.6"
"2011","02050","15"
"2012","02050","15.4"
"2013","02050","16"
"2014","02050","16.1"
"2015","02050","14.4"
"2008","02060","4.9"
"2009","02060","4.8"
"2010","02060","9.7"
"2011","02060","8.9"
"2012","02060","9.8"
"2013","02060","8.8"
"2014","02060","8"
"2015","02060","9.2"
"2008","02068","6.1"
"2009","02068","8.3"
"2010","02068","11.9"
"2011","02068","13.7"
"2012","02068","13.8"
"2013","02068","12.4"
"2014","02068","10.3"
"2015","02068","8.7"
"2008","02070","9.3"
"2009","02070","10.2"
"2010","02070","10.1"
"2011","02070","10.6"
"2012","02070","9.9"
"2013","02070","10.1"
"2014","02070","10"
"2015","02070","9.7"
"2008","02090","6.1"
"2009","02090","7.1"
"2010","02090","6.6"
"2011","02090","6.4"
"2012","02090","6.1"
"2013","02090","5.8"
"2014","02090","5.8"
"2015","02090","5.4"
"2008","02100","8.8"
"2009","02100","9"
"2010","02100","10.6"
"2011","02100","10"
"2012","02100","10"
"2013","02100","10.1"
"2014","02100","10.7"
"2015","02100","9.7"
"2008","02105",""
"2009","02105",""
"2010","02105","14"
"2011","02105","15.1"
"2012","02105","14.4"
"2013","02105","14.6"
"2014","02105","15.1"
"2015","02105","15"
"2008","02110","4.8"
"2009","02110","5.9"
"2010","02110","5.9"
"2011","02110","5.6"
"2012","02110","5.1"
"2013","02110","5"
"2014","02110","5"
"2015","02110","4.6"
"2008","02122","8.2"
"2009","02122","9.8"
"2010","02122","10"
"2011","02122","9.5"
"2012","02122","8.6"
"2013","02122","8"
"2014","02122","7.8"
"2015","02122","7.8"
"2008","02130","5.9"
"2009","02130","7.1"
"2010","02130","8.7"
"2011","02130","8.6"
"2012","02130","8.1"
"2013","02130","7.7"
"2014","02130","7.8"
"2015","02130","6.8"
"2008","02150","6.8"
"2009","02150","7.1"
"2010","02150","7.4"
"2011","02150","7.4"
"2012","02150","6.7"
"2013","02150","6.2"
"2014","02150","5.7"
"2015","02150","4.9"
"2008","02158","20.6"
"2009","02158","20.8"
"2010","02158","20.4"
"2011","02158","21.1"
"2012","02158","22.1"
"2013","02158","23.5"
"2014","02158","23.8"
"2015","02158","23.2"
"2008","02164","6.9"
"2009","02164","8.1"
"2010","02164","14.4"
"2011","02164","15"
"2012","02164","15.2"
"2013","02164","15.4"
"2014","02164","16.3"
"2015","02164","12.7"
"2008","02170","7.6"
"2009","02170","8.9"
"2010","02170","9.4"
"2011","02170","9.2"
"2012","02170","8.6"
"2013","02170","8.3"
"2014","02170","8"
"2015","02170","7.8"
"2008","02180","10.4"
"2009","02180","11.7"
"2010","02180","12.6"
"2011","02180","12.3"
"2012","02180","11.7"
"2013","02180","12.2"
"2014","02180","12.3"
"2015","02180","11.7"
"2008","02185","4.2"
"2009","02185","4.7"
"2010","02185","8"
"2011","02185","7.6"
"2012","02185","7.7"
"2013","02185","7.2"
"2014","02185","5.9"
"2015","02185","5.6"
"2008","02188","11.6"
"2009","02188","11.9"
"2010","02188","13.4"
"2011","02188","15.5"
"2012","02188","15.7"
"2013","02188","16.3"
"2014","02188","17"
"2015","02188","15.5"
"2008","02195",""
"2009","02195",""
"2010","02195","7.9"
"2011","02195","8.4"
"2012","02195","8.1"
"2013","02195","8.8"
"2014","02195","9.5"
"2015","02195","8.9"
"2008","02198",""
"2009","02198",""
"2010","02198","10.5"
"2011","02198","12.4"
"2012","02198","13.3"
"2013","02198","12"
"2014","02198","13.3"
"2015","02198","12.5"
"2008","02201","13.8"
"2009","02201","15.2"
"2010","02201",""
"2011","02201",""
"2012","02201",""
"2013","02201",""
"2014","02201",""
"2015","02201",""
"2008","02220","5.8"
"2009","02220","6.2"
"2010","02220","6.3"
"2011","02220","6.1"
"2012","02220","5.7"
"2013","02220","5.4"
"2014","02220","5.1"
"2015","02220","4.5"
"2008","02230",""
"2009","02230",""
"2010","02230","14.5"
"2011","02230","16.2"
"2012","02230","14.2"
"2013","02230","12.3"
"2014","02230","11.9"
"2015","02230","11.5"
"2008","02232","12.9"
"2009","02232","14.7"
"2010","02232",""
"2011","02232",""
"2012","02232",""
"2013","02232",""
"2014","02232",""
"2015","02232",""
"2008","02240","8.8"
"2009","02240","9.6"
"2010","02240","11.9"
"2011","02240","12.4"
"2012","02240","12.9"
"2013","02240","13"
"2014","02240","13.2"
"2015","02240","10.8"
"2008","02261","8.4"
"2009","02261","8.5"
"2010","02261","9.4"
"2011","02261","9.9"
"2012","02261","9.7"
"2013","02261","9.9"
"2014","02261","9.6"
"2015","02261","8.8"
"2008","02270",""
"2009","02270",""
"2010","02270",""
"2011","02270",""
"2012","02270",""
"2013","02270",""
"2014","02270",""
"2015","02270",""
"2008","02275",""
"2009","02275",""
"2010","02275","8"
"2011","02275","7.5"
"2012","02275","8.2"
"2013","02275","7.9"
"2014","02275","8.5"
"2015","02275","7.8"
"2008","02280","10.7"
"2009","02280","10.4"
"2010","02280",""
"2011","02280",""
"2012","02280",""
"2013","02280",""
"2014","02280",""
"2015","02280",""
"2008","04282","7.5"
"2009","04282","11.5"
"2010","04282","10.8"
"2011","04282","10.6"
"2012","04282","9.7"
"2013","04282","9.4"
"2014","04282","9.9"
"2015","04282","8.3"
"2008","04290","14.1"
"2009","04290","14.1"
"2010","04290","17.2"
"2011","04290","18.4"
"2012","04290","17.4"
"2013","04290","18.2"
"2014","04290","18.9"
"2015","04290","18"
"2008","04001","11.6"
"2009","04001","15.8"
"2010","04001","16.4"
"2011","04001","18.5"
"2012","04001","19"
"2013","04001","18.4"
"2014","04001","15.7"
"2015","04001","13.4"
"2008","04003","5.9"
"2009","04003","8"
"2010","04003","9.3"
"2011","04003","9.5"
"2012","04003","9"
"2013","04003","9.1"
"2014","04003","8.3"
"2015","04003","7.4"
"2008","04005","5.6"
"2009","04005","8.5"
"2010","04005","9.9"
"2011","04005","9.5"
"2012","04005","8.6"
"2013","04005","8.1"
"2014","04005","7.1"
"2015","04005","6.6"
"2008","04007","6.5"
"2009","04007","11.4"
"2010","04007","12.5"
"2011","04007","11.6"
"2012","04007","10.2"
"2013","04007","9.6"
"2014","04007","8.3"
"2015","04007","8"
"2008","04009","7.1"
"2009","04009","15"
"2010","04009","12.9"
"2011","04009","10"
"2012","04009","8.5"
"2013","04009","7.8"
"2014","04009","7.5"
"2015","04009","7.4"
"2008","04011","5.3"
"2009","04011","18.9"
"2010","04011","16.4"
"2011","04011","11"
"2012","04011","8.2"
"2013","04011","5.9"
"2014","04011","6.5"
"2015","04011","7.9"
"2008","04012","7.7"
"2009","04012","9.9"
"2010","04012","10.2"
"2011","04012","9.8"
"2012","04012","8.6"
"2013","04012","8.2"
"2014","04012","7.6"
"2015","04012","7.6"
"2008","04013","5.4"
"2009","04013","9.1"
"2010","04013","9.5"
"2011","04013","8.6"
"2012","04013","7.3"
